SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
607502081	1.03518	0.853141	0.893447	0.921227	0	0.896984	1.01547	0	1.00025	0	0	0	0.970688	0	0.914783	0.897871	1	0.916809	0	0.440962	0.375353	0.397389	0.476922	0.490241
608506011	0.933879	1.09938	0.976956	1.06656	0.49122	0.397525	0.965002	1.08763	1.11912	0.512315	0.544146	0.808438	0.589243	0	0.636598	0.896755	1	1.10459	0.597775	0.573934	0.383443	0.243402	0.459945	0.531546
60933051	1.07636	1.02097	0.99029	0.798806	0	0.898755	1.03427	0.00398299	1.00347	0	0	0	1.0546	0	1.01033	0.851467	1	1.06974	0	0.51655	0.508665	0.207174	0.471162	0.345264
609503101	0.848807	1.01686	1.11679	0.463927	0.983744	0	0.945023	0.541991	0.619052	0	1.06844	0.457684	0.912492	0	1.08958	0.928703	1	1.12546	0	0.561407	0.501436	0.315524	0.498382	0.424497
610503102	0.795868	0.880329	0.995916	0.812118	0.0120133	0.956767	0.857233	0.613572	0.929662	0.898027	0	0	0	0.463144	0	0.720173	1	0.856007	0.917491	0.55701	0.516494	0.00260383	0.466617	0.438994
611508041	0.877634	0.73558	0.811676	1.00214	0	0.926067	0.860488	8.3865e-05	0.892251	0	0	0	1.03927	0	1.02903	0.976478	1	0.86525	0	0.434075	0.470777	0.0232625	0.430569	0.300489
612206051	0.908182	0.819063	0.954414	0.933191	0.0128205	1.00579	0.934707	0	0.959107	0	0	0	0.436612	0	0.82997	0.506724	1	0.893644	0	0.427655	0.395359	0.354175	0.476651	0.419052
613206052	1.35437	1.00399	0.975269	1.09369	0	1.38334	1.25571	0	1.16307	0	0	0	1.26341	0	1.48749	1.17054	1	1.22655	0	0.523972	0.492866	0.0162599	0.477928	0.473541
614202101	1.16014	1.05204	1.0117	0.552369	0.379734	0.629311	0.985647	0	0.546086	0	0.495551	0	1.08276	0	0.992779	1.1151	1	1.08866	0	0.554458	0.489562	0.0874269	0.441452	0.477879
615800019	0.75254	0.921529	0.760775	0.935919	0	0.99567	0.814992	0	0.953521	0	0	0	0.772182	0	0.773561	0.812577	1	0.737765	0	0.418136	0.368123	0.195612	0.373245	0.352875
616501091	1.0581	0.688609	0.84628	0.979065	0.00140266	0.906289	0.952008	0	0.940904	0	0	0	1.50139	0	0.96821	0.860667	1	0.915695	0	0.478545	0.379198	0.340644	0.501685	0.369628
617502082	1.12276	0.98231	0.852127	1.01472	0	1.1466	0.977618	0	0.966125	0	0	0	1.01889	0	0.973242	0.875107	1	0.979984	0	0.480943	0.497208	0.342487	0.567909	0.474553
618502071	1.14858	0.700552	0.732995	0.91158	0.0111111	0.909789	0.899145	0.00116713	0.873931	0	0	0	0.842185	0	0.981122	0.746273	1	0.87913	0	0.457102	0.436576	0.357412	0.476314	0.364379
61929041	0.895778	1.07939	1.03241	1.08078	0	1.25478	1.21466	0	1.16914	0	0	0	1.06786	0	0.90269	0.911712	1	1.04121	0	0.56242	0.498924	0.324403	0.548054	0.504953
619507061	0.884066	0.806295	0.670159	0.619179	0.902828	0.0135135	0.880967	0.425078	0.37049	0	0.795856	0.269964	0.875773	0	0.936007	0.839438	1	0.939016	0	0.406079	0.517801	0.197748	0.417383	0.449378
620523031	0.822131	0.781113	0.830499	0.897713	0	0.893243	0.954185	0	0.843005	0	0	0	0.917141	0	0.867381	0.732711	1	0.873572	0	0.453598	0.390028	0.21653	0.512226	0.467111
621523032	0.881421	1.01518	1.0076	0.982707	0	1.05712	0.987977	0	1.10447	0	0	0	1.01646	0	1.02177	0.970922	1	0.917201	0	0.490448	0.461319	0.20115	0.499507	0.407783
622523092	0.905558	0.889578	0.959446	1.09334	0.471267	0.422517	1.12403	0.490124	0.999941	0.00614658	0.525892	0.453977	1.0234	0	1.26632	1.11127	1	1.21762	0	0.546763	0.58794	0.479553	0.64179	0.588494
623523111	0.97038	0.970108	1.05792	0.904045	0.423845	0.521922	1.0426	0.424972	0.84287	0	0.501271	0.437618	1.01484	0	0.973576	1.03361	1	1.08134	0	0.478889	0.499653	0.0322678	0.569985	0.526288
624500287	0.892237	0.924488	0.841323	0.943694	0	0.949624	0.983409	0.951123	0.870387	0.879797	0	0	0	0.542021	0	0.917079	1	0.928943	1.0025	0.448409	0.45858	0.0188935	0.511698	0.527072
625528081	0.900008	0.894799	0.842582	0.00189689	0.746297	0	0.439544	0.364434	0	0.446678	0.814913	0	0.476237	0.208127	0.373927	0.810788	1	0.41401	0	0.4031	0.380351	0.139743	0.465638	0.378838
626528021	1.4255	1.22126	1.13771	1.29658	0.652044	0.7428	1.13381	0.672878	1.06361	0	0.613948	0.612072	1.155	0	1.19818	1.32143	1	1.39618	0	0.431643	0.449188	0.0393971	0.548981	0.476036
627513061	1.29188	1.05089	1.13259	0.934756	0.425735	0.489624	0.89562	1.39945	0.995363	0.948386	0.520125	0.862898	0	0.249008	0	0.973477	1	1.07175	0.994408	0.505378	0.509878	0.155888	0.535551	0.462331
628000409	1.06009	1.13814	0.852657	0.96744	1.07814	0	1.08152	0.993236	1.11603	0.0301382	1.13233	0	1.00038	0.555918	1.16565	0.944399	1	1.06771	0	0.516634	0.409115	0.408795	0.531031	0.518216
629000523	1.37263	1.04648	1.01234	1.32434	0.548944	0.653834	1.2366	0.634544	1.16956	0.00591591	0.562281	0.376382	1.14487	0	1.09535	1.35053	1	1.34128	0	0.585737	0.489555	0.0890389	0.528774	0.539862
62929011	0.956287	0.954335	0.882706	1.02309	0.0116809	1.08547	0.959539	0	1.06286	0	0	0	0.784999	0	0.959271	1.08388	1	0.941406	0	0.416723	0.525897	0.147645	0.517504	0.497698
630000403	1.0364	1.09519	0.940941	0.723747	0.59329	0.557547	1.02247	0	0.468426	0	0.501957	0	1.23536	0	0.896949	1.01398	1	1.19604	0	0.453604	0.491097	0.359164	0.554906	0.554478
631000405	1.00835	0.80248	0.869401	0.861805	0.000285162	0.8979	0.971616	0.436675	1.07669	0.452005	0	0.357932	0.475701	0	0.532058	0.797158	1	0.924983	0.42386	0.504583	0.46445	0.127451	0.439075	0.399535
632000410	1.03789	1.02774	1.01405	1.11582	0.616888	0.54474	1.09177	1.21164	1.23338	0.459399	0.560579	0.506725	0.558108	0.226403	0.711041	1.00831	1	1.04638	0.527354	0.667859	0.662149	0.280554	0.576724	0.515902
633312061	0.909413	0.951855	0.90516	0.645216	0.514556	0.42676	1.24029	1.78422e-05	0.519146	0	0.48418	0	0.908626	0	0.892489	1.0893	1	1.33059	0	0.452015	0.413602	0.0299926	0.493825	0.548144
634300224	1.08069	0.891628	0.925224	0.990045	0	0.943551	1.15259	0.486819	1.00192	0.379725	0	0	0.498725	0.254048	0.585618	0.948247	1	1.062	0.443779	0.664559	0.483978	0.11691	0.525211	0.437754
635323081	1.35119	0.94014	0.871292	1.04621	0	1.04361	1.07695	0	0.752446	0	0	0	1.09288	0	0.965674	0.945151	1	1.03744	0	0.464671	0.498968	0.0777894	0.446833	0.482878
636902031	1.05478	0.835888	1.00359	1.04802	0	1.12449	0.900796	0	0.935673	0	0	0	0.88555	0	0.866327	0.819902	1	0.973984	0	0.412499	0.407813	0.115028	0.434226	0.456255
637323091	1.03926	1.00598	1.13804	0.729737	0.918656	0	1.11197	1.06241	0.463723	0.605152	1.17022	0.426897	0.520854	0.304641	0.745531	0.901175	1	1.06342	0.585717	0.498293	0.54376	0.257381	0.47058	0.525794
63929012	0.915171	0.828431	0.893782	1.15495	0	0.944468	1.0108	0	0.777385	0	0	0	0.941645	0	0.976016	0.888381	1	1.00426	0	0.460817	0.501104	0.0213746	0.463727	0.516713
639417062	1.35011	1.13603	0.982597	0.736615	0.408069	0.628041	1.05337	0	0.364936	0	0.420655	0	1.12403	0	1.17196	1.14042	1	1.25252	0	0.517136	0.474555	0.340624	0.567913	0.503242
640417051	1.30854	0.971639	0.972959	0.935424	0	1.01744	1.12305	1.06073	1.01672	1.05113	0	0.427699	0	0.234382	0	1.2052	1	1.049	1.17353	0.444661	0.42268	0.288983	0.478423	0.449737
641427041	1.01382	0.811659	0.805728	1.04921	0.462117	0.63445	0.983307	0.637671	0.957387	0	0.487383	0.406001	0.925969	0	1.02655	0.880684	1	0.903431	0	0.505363	0.463578	0.13659	0.536222	0.525113
642705082	1.30581	1.10109	0.919826	0.98725	0	1.21678	1.10765	1.03441	1.35161	1.04731	0	0	0	0.537084	0	1.07538	1	1.13788	1.10094	0.523618	0.438714	0.241498	0.447974	0.518222
643417011	0.780161	0.960137	0.793039	0.438566	0.314533	0.475844	0.942784	0	0.386971	0	0.459778	0	0.766685	0	1.18895	0.917102	1	0.986315	0	0.44769	0.48871	0.0986453	0.417142	0.332884
64404101	0.922161	0.756286	0.882433	1.00234	0	0.881688	0.899769	0	0.941123	0	0	0	0.979478	0	0.889248	0.767029	1	0.827847	0	0.451093	0.512695	0.126519	0.487623	0.364433
644417012	0.95416	0.906975	0.931933	0.509389	0	0.914113	0.500685	0	0.970893	0.450567	0	0	0.480626	0	0.528048	0.44197	1	0.44188	0	0.550686	0.439863	0.0404449	0.470492	0.435643
645401031	0.842612	0.845503	0.871282	0.757691	0.447153	0.477162	0.838517	0.865755	0.828895	0.345936	0.435067	0.340899	0.370522	0.21288	0.517659	0.913363	1	0.747642	0.31552	0.450599	0.478235	0.12887	0.44829	0.472928
646405061	1.01315	0.854477	0.797526	1.03322	0.438541	0.414583	0.821809	1.43909	1.04884	0.870483	0.466284	0.796598	0	0.253895	0	1.0212	1	0.971302	1.05555	0.47024	0.432079	0.340107	0.414424	0.469413
647405102	0.795929	0.73096	0.863154	0.537168	0.397853	0.416639	0.907377	0	0.559896	0	0.517603	0	0.891884	0	1.03228	0.932374	1	1.02162	0	0.384914	0.386401	0.262192	0.428176	0.34898
649927031	0.949804	0.915021	0.919576	1.0931	0.544181	0.553606	1.47985	0.520146	0.951758	0	0.512313	0.394945	1.04904	0	1.17753	0.997591	1	1.4868	0.487144	0.498009	0.522465	0.352359	0.492109	0.464767
