SAMPLE	5UPKIR	HLA-E	HLA-G	KIR2DL1	KIR2DL2	KIR2DL3	KIR2DL4	KIR2DL5AB	KIR2DP1	KIR2DS1	KIR2DS2	KIR2DS3	KIR2DS4	KIR2DS5	KIR3DL1	KIR3DL2	KIR3DL3	KIR3DP1	KIR3DS1	LILRB1	LILRB2	LILRB3	LILRB4	LILRB5
502903022	34	27	29	31	0	31	27	0	27	0	0	0	33	0	34	31	33	24	0	0	0	0	0	0
503914062	38	34	30	71	1	35	36	0	27	0	0	0	37	0	37	33	41	39	0	0	0	0	0	0
504900367	39	27	33	25	34	0	18	44	13	34	18	32	0	0	0	26	33	20	16	0	0	0	0	0
506417051	37	33	23	36	0	34	38	18	28	13	0	0	15	0	25	36	35	35	29	0	0	0	0	0
507933012	29	25	32	31	0	29	31	0	41	0	0	0	30	0	29	22	32	25	0	0	0	0	0	0
508308101	34	28	32	42	12	12	33	16	36	0	0	0	30	0	16	35	39	28	0	0	0	0	0	0
509607121	43	45	38	26	41	0	20	66	24	38	36	16	0	0	0	48	41	22	20	0	0	0	0	0
510512061	37	31	26	36	0	19	30	15	33	19	21	0	16	0	29	29	35	30	12	0	0	0	0	0
51103051	50	49	42	42	0	36	35	0	41	0	0	0	47	0	33	37	44	39	0	0	0	0	0	0
511515011	45	31	40	43	0	36	39	0	46	0	0	0	42	0	36	48	38	44	0	0	0	0	0	0
512510011	45	47	42	54	34	0	31	36	35	0	39	43	35	0	35	37	42	38	0	0	0	0	0	0
513111021	58	44	51	30	29	25	22	29	20	22	37	0	29	0	28	42	58	29	0	0	0	0	0	0
514708022	34	26	25	20	34	0	34	28	15	8	31	27	15	0	20	32	29	26	16	0	0	0	0	0
515000447	27	37	27	35	0	37	33	15	37	25	0	0	21	0	22	35	39	36	19	0	0	0	0	0
516622071	24	22	24	19	12	10	20	0	12	0	12	0	20	0	31	27	19	22	0	0	0	0	0	0
517622031	30	28	28	22	0	30	30	0	45	0	0	0	29	0	28	33	29	25	0	0	0	0	0	0
518624081	34	30	28	37	0	22	29	0	36	0	0	0	23	0	20	31	35	31	0	0	0	0	0	0
519200295	33	26	22	26	0	36	31	0	25	0	0	0	24	0	24	26	28	26	0	0	0	0	0	0
520701041	45	55	51	60	25	30	51	25	41	0	23	22	57	0	48	50	49	52	0	0	0	0	0	0
52103052	26	24	27	40	14	17	26	38	23	31	10	30	0	0	0	32	30	30	20	0	0	0	0	0
521601061	40	37	40	56	20	22	49	44	55	32	23	44	22	0	22	38	54	54	22	0	0	0	0	0
522715031	51	42	40	44	0	43	42	0	55	0	0	0	51	0	41	52	59	49	0	0	0	0	0	0
523704101	50	44	36	28	24	22	51	0	18	0	14	0	55	0	41	44	50	47	0	0	0	0	0	0
524900021	41	31	31	33	0	41	41	21	33	16	0	0	19	0	35	39	40	53	24	0	0	0	0	0
525900031	56	37	44	48	0	33	43	19	48	19	0	26	23	0	40	35	46	48	25	0	0	0	0	0
526900011	51	40	33	48	17	14	39	22	35	0	21	13	45	0	33	42	35	40	0	0	0	0	0	0
527900101	34	41	37	1	40	0	38	0	0	0	44	0	41	0	40	51	44	37	0	0	0	0	0	0
528900061	39	26	38	43	0	28	37	36	46	40	0	0	0	0	0	34	38	33	29	0	0	0	0	0
529900111	47	48	39	34	37	0	46	26	20	0	47	19	47	0	49	50	49	43	0	0	0	0	0	0
530900091	39	42	41	53	18	16	56	16	33	0	12	25	47	0	42	42	40	65	22	0	0	0	0	0
531900151	35	30	24	33	0	27	35	0	33	0	0	0	31	0	33	30	35	32	0	0	0	0	0	0
532802041	37	25	28	61	0	24	30	0	28	0	0	0	26	0	38	35	24	30	0	0	0	0	0	0
533802051	34	33	36	0	44	0	37	0	0	0	37	0	32	0	42	27	41	38	0	0	0	0	0	0
53409011	35	21	23	32	0	43	25	0	24	0	0	0	33	0	37	29	37	27	0	0	0	0	0	0
534200027	32	33	27	25	36	0	34	33	12	20	34	19	12	0	20	22	33	24	15	0	0	0	0	0
535200028	51	34	36	62	19	25	42	52	31	15	23	15	20	0	35	36	43	42	19	0	0	0	0	0
536212062	36	28	37	41	0	14	34	16	37	24	23	0	22	0	36	35	36	40	15	0	0	0	0	0
538224061	28	25	22	15	14	21	26	0	22	0	7	0	29	0	32	23	29	20	0	0	0	0	0	0
539224062	42	26	24	40	15	20	37	16	35	0	0	0	32	0	34	26	29	23	0	0	0	0	0	0
540230101	34	37	36	34	0	37	41	0	42	0	0	0	36	0	33	36	40	39	0	0	0	0	0	0
541230102	33	31	32	32	0	31	41	0	27	0	0	0	34	0	31	36	29	36	0	0	0	0	0	0
543236031	33	26	29	37	0	33	31	0	36	0	0	0	36	0	33	35	36	34	0	0	0	0	0	0
544000385	36	29	23	18	16	9	45	12	15	14	16	0	15	0	28	30	27	54	28	0	0	0	0	0
54409051	37	27	27	32	0	37	36	20	44	15	0	0	24	0	35	38	29	29	19	0	0	0	0	0
545000422	44	35	41	43	16	18	44	22	38	0	25	21	43	0	42	36	38	35	0	0	0	0	0	0
546000429	35	25	27	29	0	27	23	0	33	0	0	0	32	0	36	29	29	35	0	0	0	0	0	0
547000448	31	27	37	33	0	37	36	0	44	0	0	0	38	0	33	33	40	33	0	0	0	0	0	0
