Sample	Gene	Ratio	Heterozygosis	Order
1165600901	HLA-G	0.817079	heterozygosis: yes (1-2)	213
332205021	HLA-G	0.817223	heterozygosis: yes (1-2)	214
861812011	HLA-G	0.817275	heterozygosis: yes (1-2)	215
210800095	HLA-G	0.817473	heterozygosis: unknown	216
1189134901	HLA-G	0.817742	heterozygosis: yes (1-2)	217
27319021	HLA-G	0.817993	heterozygosis: yes (1-2)	218
888000458	HLA-G	0.818648	heterozygosis: yes (1-2)	219
470201041	HLA-G	0.818705	heterozygosis: unknown	220
458904031	HLA-G	0.818880	heterozygosis: yes (1-2)	221
399725052	HLA-G	0.819536	heterozygosis: yes (1-2)	222
475700124	HLA-G	0.820649	heterozygosis: unknown	223
1058009901	HLA-G	0.821439	heterozygosis: unknown	224
401217031	HLA-G	0.822045	heterozygosis: unknown	225
1054020501	HLA-G	0.822449	heterozygosis: yes (1-2)	226
210800066	HLA-G	0.822774	heterozygosis: yes (1-2)	227
69929081	HLA-G	0.823188	heterozygosis: yes (1-2)	228
145709101	HLA-G	0.823263	heterozygosis: yes (1-2)	229
210800052	HLA-G	0.823887	heterozygosis: unknown	230
558809011	HLA-G	0.824147	heterozygosis: yes (1-2)	231
1170503901	HLA-G	0.824245	heterozygosis: yes (1-2)	232
476703051	HLA-G	0.824433	heterozygosis: unknown	233
483732031	HLA-G	0.825722	heterozygosis: unknown	234
210800053	HLA-G	0.825789	heterozygosis: yes (1-2)	235
369814111	HLA-G	0.825832	heterozygosis: yes (1-2)	236
271110101	HLA-G	0.825856	heterozygosis: unknown	237
383007071	HLA-G	0.826071	heterozygosis: unknown	238
1059310901	HLA-G	0.826634	heterozygosis: yes (1-2)	239
211322012	HLA-G	0.827134	heterozygosis: unknown	240
214709101	HLA-G	0.827204	heterozygosis: unknown	241
274105051	HLA-G	0.827612	heterozygosis: unknown	242
1139102501	HLA-G	0.827622	heterozygosis: unknown	243
1283622602	HLA-G	0.827691	heterozygosis: unknown	244
590000426	HLA-G	0.827747	heterozygosis: yes (1-2)	245
1317223701	HLA-G	0.828035	heterozygosis: yes (1-2)	246
1294003701	HLA-G	0.828373	heterozygosis: unknown	247
